areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-06-09,8002
K02000001,United Kingdom,overview,2021-06-08,7675
K02000001,United Kingdom,overview,2021-06-07,7743
K02000001,United Kingdom,overview,2021-06-06,5405
K02000001,United Kingdom,overview,2021-06-05,4623
K02000001,United Kingdom,overview,2021-06-04,5706
K02000001,United Kingdom,overview,2021-06-03,6100
K02000001,United Kingdom,overview,2021-06-02,6049
K02000001,United Kingdom,overview,2021-06-01,5235
K02000001,United Kingdom,overview,2021-05-31,3781
K02000001,United Kingdom,overview,2021-05-30,3094
K02000001,United Kingdom,overview,2021-05-29,2933
K02000001,United Kingdom,overview,2021-05-28,3490
K02000001,United Kingdom,overview,2021-05-27,3639
K02000001,United Kingdom,overview,2021-05-26,3800
K02000001,United Kingdom,overview,2021-05-25,3308
K02000001,United Kingdom,overview,2021-05-24,3237
K02000001,United Kingdom,overview,2021-05-23,2242
K02000001,United Kingdom,overview,2021-05-22,1926
K02000001,United Kingdom,overview,2021-05-21,2294
K02000001,United Kingdom,overview,2021-05-20,2425
K02000001,United Kingdom,overview,2021-05-19,2713
K02000001,United Kingdom,overview,2021-05-18,2708
K02000001,United Kingdom,overview,2021-05-17,2766
K02000001,United Kingdom,overview,2021-05-16,1853
K02000001,United Kingdom,overview,2021-05-15,1582
K02000001,United Kingdom,overview,2021-05-14,1850
K02000001,United Kingdom,overview,2021-05-13,2096
K02000001,United Kingdom,overview,2021-05-12,2231
K02000001,United Kingdom,overview,2021-05-11,2200
K02000001,United Kingdom,overview,2021-05-10,2658
K02000001,United Kingdom,overview,2021-05-09,2172
K02000001,United Kingdom,overview,2021-05-08,1511
K02000001,United Kingdom,overview,2021-05-07,1883
K02000001,United Kingdom,overview,2021-05-06,2166
K02000001,United Kingdom,overview,2021-05-05,2398
K02000001,United Kingdom,overview,2021-05-04,2405
K02000001,United Kingdom,overview,2021-05-03,1971
K02000001,United Kingdom,overview,2021-05-02,1426
K02000001,United Kingdom,overview,2021-05-01,1356
K02000001,United Kingdom,overview,2021-04-30,1705
K02000001,United Kingdom,overview,2021-04-29,2083
K02000001,United Kingdom,overview,2021-04-28,2360
K02000001,United Kingdom,overview,2021-04-27,2058
K02000001,United Kingdom,overview,2021-04-26,2444
K02000001,United Kingdom,overview,2021-04-25,1992
K02000001,United Kingdom,overview,2021-04-24,1464
K02000001,United Kingdom,overview,2021-04-23,1891
K02000001,United Kingdom,overview,2021-04-22,2254
K02000001,United Kingdom,overview,2021-04-21,2543
K02000001,United Kingdom,overview,2021-04-20,2367
K02000001,United Kingdom,overview,2021-04-19,2602
K02000001,United Kingdom,overview,2021-04-18,2438
K02000001,United Kingdom,overview,2021-04-17,1638
K02000001,United Kingdom,overview,2021-04-16,2353
K02000001,United Kingdom,overview,2021-04-15,2187
K02000001,United Kingdom,overview,2021-04-14,2405
K02000001,United Kingdom,overview,2021-04-13,2334
K02000001,United Kingdom,overview,2021-04-12,2714
K02000001,United Kingdom,overview,2021-04-11,2258
K02000001,United Kingdom,overview,2021-04-10,2259
K02000001,United Kingdom,overview,2021-04-09,2785
K02000001,United Kingdom,overview,2021-04-08,2982
K02000001,United Kingdom,overview,2021-04-07,3082
K02000001,United Kingdom,overview,2021-04-06,3117
K02000001,United Kingdom,overview,2021-04-05,2617
K02000001,United Kingdom,overview,2021-04-04,2293
K02000001,United Kingdom,overview,2021-04-03,2404
K02000001,United Kingdom,overview,2021-04-02,2625
K02000001,United Kingdom,overview,2021-04-01,3472
K02000001,United Kingdom,overview,2021-03-31,3771
K02000001,United Kingdom,overview,2021-03-30,3596
K02000001,United Kingdom,overview,2021-03-29,3968
K02000001,United Kingdom,overview,2021-03-28,4658
K02000001,United Kingdom,overview,2021-03-27,3541
K02000001,United Kingdom,overview,2021-03-26,4391
K02000001,United Kingdom,overview,2021-03-25,5402
K02000001,United Kingdom,overview,2021-03-24,6015
K02000001,United Kingdom,overview,2021-03-23,5262
K02000001,United Kingdom,overview,2021-03-22,6203
K02000001,United Kingdom,overview,2021-03-21,5233
K02000001,United Kingdom,overview,2021-03-20,4102
K02000001,United Kingdom,overview,2021-03-19,4997
K02000001,United Kingdom,overview,2021-03-18,5477
K02000001,United Kingdom,overview,2021-03-17,5770
K02000001,United Kingdom,overview,2021-03-16,5675
K02000001,United Kingdom,overview,2021-03-15,6504
K02000001,United Kingdom,overview,2021-03-14,4301
K02000001,United Kingdom,overview,2021-03-13,4246
K02000001,United Kingdom,overview,2021-03-12,5590
K02000001,United Kingdom,overview,2021-03-11,5770
K02000001,United Kingdom,overview,2021-03-10,6038
K02000001,United Kingdom,overview,2021-03-09,6228
K02000001,United Kingdom,overview,2021-03-08,6643
K02000001,United Kingdom,overview,2021-03-07,4284
K02000001,United Kingdom,overview,2021-03-06,4505
K02000001,United Kingdom,overview,2021-03-05,5299
K02000001,United Kingdom,overview,2021-03-04,5726
K02000001,United Kingdom,overview,2021-03-03,5974
K02000001,United Kingdom,overview,2021-03-02,6655
K02000001,United Kingdom,overview,2021-03-01,6875
K02000001,United Kingdom,overview,2021-02-28,4714
K02000001,United Kingdom,overview,2021-02-27,4815
K02000001,United Kingdom,overview,2021-02-26,6565
