COUNTRY,Country,INDICATOR,Indicator,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
LVA,Latvia,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,7214.945,,
LVA,Latvia,CO2,Carbon dioxide (CO2),2018,2018,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,7859.362,,
LVA,Latvia,CO2,Carbon dioxide (CO2),2019,2019,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,7648.184,,
NOR,Norway,CO2,Carbon dioxide (CO2),2016,2016,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,44435.168,,
NOR,Norway,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,43631.236,,
NOR,Norway,CO2,Carbon dioxide (CO2),2018,2018,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,43883.506,,
NOR,Norway,CO2,Carbon dioxide (CO2),2019,2019,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,42218.272,,
POL,Poland,CO2,Carbon dioxide (CO2),2016,2016,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,324341.69,,
POL,Poland,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,337682.844,,
POL,Poland,CO2,Carbon dioxide (CO2),2018,2018,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,336992.311,,
POL,Poland,CO2,Carbon dioxide (CO2),2019,2019,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,319520.975,,
PRT,Portugal,CO2,Carbon dioxide (CO2),2016,2016,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,50458.265,,
PRT,Portugal,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,55230.716,,
PRT,Portugal,CO2,Carbon dioxide (CO2),2018,2018,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,51492.414,,
PRT,Portugal,CO2,Carbon dioxide (CO2),2019,2019,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,47629.084,,
SVN,Slovenia,CO2,Carbon dioxide (CO2),2016,2016,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,14425.252,,
SVN,Slovenia,CO2,Carbon dioxide (CO2),2017,2017,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,14591.882,,
SVN,Slovenia,CO2,Carbon dioxide (CO2),2018,2018,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,14493.544,,
SVN,Slovenia,CO2,Carbon dioxide (CO2),2019,2019,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,14005.901,,
