variable,measure,country,year,value,flag codes,flags
Total population at birth,Years,Hungary,1981,69.3,,
Total population at birth,Years,Hungary,1982,69.5,,
Total population at birth,Years,Hungary,1983,69.1,,
Total population at birth,Years,Hungary,1984,69.2,,
Total population at birth,Years,Hungary,1985,69.2,,
Total population at birth,Years,Hungary,1986,69.3,,
Total population at birth,Years,Hungary,1987,69.8,,
Total population at birth,Years,Hungary,1988,70.2,,
Total population at birth,Years,Hungary,1989,69.6,,
Total population at birth,Years,Hungary,1990,69.5,,
Total population at birth,Years,Hungary,1991,69.6,,
Total population at birth,Years,Hungary,1992,69.4,,
Total population at birth,Years,Hungary,1993,69.4,,
Total population at birth,Years,Hungary,1994,69.8,,
Total population at birth,Years,Hungary,1995,70.1,,
Total population at birth,Years,Hungary,1996,70.7,,
Total population at birth,Years,Hungary,1997,71.1,,
Total population at birth,Years,Hungary,1998,71.1,,
Total population at birth,Years,Hungary,1999,71.2,,
Total population at birth,Years,Hungary,2000,71.9,,
Total population at birth,Years,Hungary,2001,72.5,,
Total population at birth,Years,Hungary,2002,72.5,,
Total population at birth,Years,Hungary,2003,72.6,,
Total population at birth,Years,Hungary,2004,73,,
Total population at birth,Years,Hungary,2005,73,,
Total population at birth,Years,Hungary,2006,73.5,,
Total population at birth,Years,Hungary,2007,73.6,,
Total population at birth,Years,Hungary,2008,74.2,,
Total population at birth,Years,Hungary,2009,74.4,,
Total population at birth,Years,Hungary,2010,74.7,,
Total population at birth,Years,Hungary,2011,75,,
Total population at birth,Years,Hungary,2012,75.2,B,Break
Total population at birth,Years,Hungary,2013,75.7,,
Total population at birth,Years,Hungary,2014,75.9,,
Total population at birth,Years,Hungary,2015,75.7,,
Total population at birth,Years,Hungary,2016,76.2,,
Total population at birth,Years,Hungary,2017,75.9,,
Total population at birth,Years,Hungary,2018,76.2,,
Total population at birth,Years,Hungary,2019,76.4,,
Total population at birth,Years,Hungary,2020,75.7,,
Total population at birth,Years,Iceland,1961,73.6,,
Total population at birth,Years,Iceland,1962,73.8,,
Total population at birth,Years,Iceland,1963,73.2,,
Total population at birth,Years,Iceland,1964,73.6,,
Total population at birth,Years,Iceland,1965,73.9,,
Total population at birth,Years,Iceland,1966,73.4,,
Total population at birth,Years,Iceland,1967,73.9,,
Total population at birth,Years,Iceland,1968,74.1,,
Total population at birth,Years,Iceland,1969,73.8,,
Total population at birth,Years,Iceland,1970,74,,
Total population at birth,Years,Iceland,1971,73.7,,
Total population at birth,Years,Iceland,1972,74.5,,
Total population at birth,Years,Iceland,1973,74.6,,
Total population at birth,Years,Iceland,1974,74.6,,
Total population at birth,Years,Iceland,1975,75.7,,
Total population at birth,Years,Iceland,1976,77.1,,
Total population at birth,Years,Iceland,1977,76.5,,
Total population at birth,Years,Iceland,1978,76.7,,
Total population at birth,Years,Iceland,1980,77,,
Total population at birth,Years,Iceland,1981,76.6,,
Total population at birth,Years,Iceland,1982,77.1,,
Total population at birth,Years,Iceland,1983,77,,
Total population at birth,Years,Iceland,1984,77.7,,
Total population at birth,Years,Iceland,1985,77.7,,
Total population at birth,Years,Iceland,1986,78.1,,
Total population at birth,Years,Iceland,1987,77.4,,
Total population at birth,Years,Iceland,1988,77.2,,
Total population at birth,Years,Iceland,1989,78.2,,
Total population at birth,Years,Iceland,1990,78.1,,
Total population at birth,Years,Iceland,1991,78.1,,
Total population at birth,Years,Iceland,1992,78.8,,
Total population at birth,Years,Iceland,1993,79,,
Total population at birth,Years,Iceland,1994,79.3,,
Total population at birth,Years,Iceland,1995,78.1,,
Total population at birth,Years,Iceland,1996,78.9,,
Total population at birth,Years,Iceland,1997,79,,
Total population at birth,Years,Iceland,1998,79.7,,
Total population at birth,Years,Iceland,1999,79.4,,
Total population at birth,Years,Iceland,2000,79.7,,
Total population at birth,Years,Iceland,2001,80.8,,
Total population at birth,Years,Iceland,2002,80.6,,
Total population at birth,Years,Iceland,2003,81,,
Total population at birth,Years,Iceland,2004,81.1,,
Total population at birth,Years,Iceland,2005,81.6,,
Total population at birth,Years,Iceland,2006,81.2,,
Total population at birth,Years,Iceland,2007,81.5,,
Total population at birth,Years,Iceland,2008,81.7,,
Total population at birth,Years,Iceland,2009,81.8,,
Total population at birth,Years,Iceland,2010,82,,
Total population at birth,Years,Iceland,2011,82.4,,
Total population at birth,Years,Iceland,2012,83,,
Total population at birth,Years,Iceland,2013,82.1,,
Total population at birth,Years,Iceland,2014,82.9,,
Total population at birth,Years,Iceland,2015,82.5,,
Total population at birth,Years,Iceland,2016,82.3,,
Total population at birth,Years,Iceland,2017,82.7,,
Total population at birth,Years,Iceland,2018,82.9,,
Total population at birth,Years,Iceland,2019,83.2,,
Total population at birth,Years,Iceland,2020,83.1,,
Total population at birth,Years,Ireland,1960,70,,
Total population at birth,Years,Ireland,1970,71.2,,
Total population at birth,Years,Ireland,1978,71.5,,
Total population at birth,Years,Ireland,1979,72.3,,
Total population at birth,Years,Ireland,1980,72.9,,
Total population at birth,Years,Ireland,1981,72.9,,
Total population at birth,Years,Ireland,1982,72.9,,
Total population at birth,Years,Ireland,1985,73.4,,
Total population at birth,Years,Ireland,1986,73.6,,
Total population at birth,Years,Ireland,1987,74.5,,
Total population at birth,Years,Ireland,1988,74.5,,
Total population at birth,Years,Ireland,1989,74.5,,
Total population at birth,Years,Ireland,1990,74.9,,
Total population at birth,Years,Ireland,1991,75.1,,
Total population at birth,Years,Ireland,1992,75.5,,
Total population at birth,Years,Ireland,1993,75.3,,
Total population at birth,Years,Ireland,1994,75.9,,
Total population at birth,Years,Ireland,1995,75.6,,
Total population at birth,Years,Ireland,1996,75.9,,
Total population at birth,Years,Ireland,1997,76.1,,
Total population at birth,Years,Ireland,1998,76.3,,
Total population at birth,Years,Ireland,1999,76.2,,
Total population at birth,Years,Ireland,2000,76.6,,
Total population at birth,Years,Ireland,2001,77.2,,
Total population at birth,Years,Ireland,2002,77.7,,
Total population at birth,Years,Ireland,2003,78.2,,
Total population at birth,Years,Ireland,2004,78.6,,
Total population at birth,Years,Ireland,2005,79,,
Total population at birth,Years,Ireland,2006,79.3,,
Total population at birth,Years,Ireland,2007,79.7,,
Total population at birth,Years,Ireland,2008,80.2,,
Total population at birth,Years,Ireland,2009,80.3,,
Total population at birth,Years,Ireland,2010,80.8,,
Total population at birth,Years,Ireland,2011,80.8,,
Total population at birth,Years,Ireland,2012,80.9,,
Total population at birth,Years,Ireland,2013,81,,
Total population at birth,Years,Ireland,2014,81.4,,
Total population at birth,Years,Ireland,2015,81.5,,
Total population at birth,Years,Ireland,2016,81.7,,
Total population at birth,Years,Ireland,2017,82.2,,
Total population at birth,Years,Ireland,2018,82.3,,
Total population at birth,Years,Ireland,2019,82.8,,
Total population at birth,Years,Italy,1961,69.8,,
Total population at birth,Years,Italy,1971,72,,
Total population at birth,Years,Italy,1974,72.6,,
Total population at birth,Years,Italy,1975,72.7,,
Total population at birth,Years,Italy,1976,72.8,,
Total population at birth,Years,Italy,1977,73.4,,
Total population at birth,Years,Italy,1978,73.8,,
Total population at birth,Years,Italy,1979,74.1,,
Total population at birth,Years,Italy,1980,74,,
Total population at birth,Years,Italy,1981,74.3,,
Total population at birth,Years,Italy,1982,74.7,,
Total population at birth,Years,Italy,1983,74.8,,
Total population at birth,Years,Italy,1984,75,,
Total population at birth,Years,Italy,1985,75.6,,
Total population at birth,Years,Italy,1986,75.9,,
Total population at birth,Years,Italy,1987,76.3,,
Total population at birth,Years,Italy,1988,76.5,,
Total population at birth,Years,Italy,1989,76.9,,
Total population at birth,Years,Italy,1990,77.1,,
Total population at birth,Years,Italy,1991,77.1,,
Total population at birth,Years,Italy,1992,77.5,,
Total population at birth,Years,Italy,1993,77.8,,
Total population at birth,Years,Italy,1994,78,,
Total population at birth,Years,Italy,1995,78.3,,
Total population at birth,Years,Italy,1996,78.6,,
Total population at birth,Years,Italy,1997,78.9,,
Total population at birth,Years,Italy,1998,79.1,,
Total population at birth,Years,Italy,1999,79.5,,
Total population at birth,Years,Italy,2000,79.9,,
Total population at birth,Years,Italy,2001,80.2,,
Total population at birth,Years,Italy,2002,80.3,,
Total population at birth,Years,Italy,2003,80.1,,
Total population at birth,Years,Italy,2004,80.9,,
Total population at birth,Years,Italy,2005,80.9,,
Total population at birth,Years,Italy,2006,81.4,,
Total population at birth,Years,Italy,2007,81.5,,
Total population at birth,Years,Italy,2008,81.6,,
Total population at birth,Years,Italy,2009,81.7,,
Total population at birth,Years,Italy,2010,82.1,,
Total population at birth,Years,Italy,2011,82.3,,
Total population at birth,Years,Italy,2012,82.3,,
Total population at birth,Years,Italy,2013,82.8,,
Total population at birth,Years,Italy,2014,83.2,,
Total population at birth,Years,Italy,2015,82.6,,
Total population at birth,Years,Italy,2016,83.3,,
Total population at birth,Years,Italy,2017,83,,
Total population at birth,Years,Italy,2018,83.4,,
Total population at birth,Years,Italy,2019,83.6,,
Total population at birth,Years,Italy,2020,82.4,,
Total population at birth,Years,Japan,1960,67.8,,
Total population at birth,Years,Japan,1961,68.4,,
Total population at birth,Years,Japan,1962,68.7,,
Total population at birth,Years,Japan,1963,69.8,,
Total population at birth,Years,Japan,1964,70.3,,
Total population at birth,Years,Japan,1965,70.3,,
Total population at birth,Years,Japan,1966,71,,
Total population at birth,Years,Japan,1967,71.5,,
Total population at birth,Years,Japan,1968,71.7,,
Total population at birth,Years,Japan,1969,71.9,,
Total population at birth,Years,Japan,1970,72,,
Total population at birth,Years,Japan,1971,72.9,,
Total population at birth,Years,Japan,1972,73.2,,
Total population at birth,Years,Japan,1973,73.4,,
Total population at birth,Years,Japan,1974,73.7,,
Total population at birth,Years,Japan,1975,74.3,,
Total population at birth,Years,Japan,1976,74.8,,
Total population at birth,Years,Japan,1977,75.3,,
Total population at birth,Years,Japan,1978,75.7,,
Total population at birth,Years,Japan,1979,76.2,,
Total population at birth,Years,Japan,1980,76.1,,
Total population at birth,Years,Japan,1981,76.5,,
Total population at birth,Years,Japan,1982,76.9,,
Total population at birth,Years,Japan,1983,77,,
Total population at birth,Years,Japan,1984,77.4,,
Total population at birth,Years,Japan,1985,77.6,,
Total population at birth,Years,Japan,1986,78.1,,
Total population at birth,Years,Japan,1987,78.5,,
Total population at birth,Years,Japan,1988,78.4,,
Total population at birth,Years,Japan,1989,78.8,,
Total population at birth,Years,Japan,1990,78.9,,
Total population at birth,Years,Japan,1991,79.1,,
Total population at birth,Years,Japan,1992,79.2,,
Total population at birth,Years,Japan,1993,79.4,,
Total population at birth,Years,Japan,1994,79.8,,
Total population at birth,Years,Japan,1995,79.6,,
Total population at birth,Years,Japan,1996,80.3,,
Total population at birth,Years,Japan,1997,80.5,,
Total population at birth,Years,Japan,1998,80.6,,
Total population at birth,Years,Japan,1999,80.5,,
Total population at birth,Years,Japan,2000,81.2,,
Total population at birth,Years,Japan,2001,81.5,,
Total population at birth,Years,Japan,2002,81.8,,
Total population at birth,Years,Japan,2003,81.8,,
Total population at birth,Years,Japan,2004,82.1,,
Total population at birth,Years,Japan,2005,82,,
Total population at birth,Years,Japan,2006,82.4,,
Total population at birth,Years,Japan,2007,82.6,,
Total population at birth,Years,Japan,2008,82.7,,
Total population at birth,Years,Japan,2009,83,,
Total population at birth,Years,Japan,2010,82.9,,
Total population at birth,Years,Japan,2011,82.7,,
Total population at birth,Years,Japan,2012,83.2,,
Total population at birth,Years,Japan,2013,83.4,,
Total population at birth,Years,Japan,2014,83.7,,
Total population at birth,Years,Japan,2015,83.9,,
Total population at birth,Years,Japan,2016,84.1,,
Total population at birth,Years,Japan,2017,84.2,,
Total population at birth,Years,Japan,2018,84.3,,
Total population at birth,Years,Japan,2019,84.4,,
Total population at birth,Years,Japan,2020,84.7,,
Total population at birth,Years,Korea,1970,62.3,,
Total population at birth,Years,Korea,1971,62.7,,
Total population at birth,Years,Korea,1972,63.1,,
Total population at birth,Years,Korea,1973,63.5,,
Total population at birth,Years,Korea,1974,63.9,,
Total population at birth,Years,Korea,1975,64.3,,
Total population at birth,Years,Korea,1976,64.6,,
Total population at birth,Years,Korea,1977,65,,
Total population at birth,Years,Korea,1978,65.3,,
Total population at birth,Years,Korea,1979,65.6,,
Total population at birth,Years,Korea,1980,66.1,,
Total population at birth,Years,Korea,1981,66.7,,
Total population at birth,Years,Korea,1982,67.2,,
Total population at birth,Years,Korea,1983,67.7,,
Total population at birth,Years,Korea,1984,68.3,,
Total population at birth,Years,Korea,1985,68.9,,
Total population at birth,Years,Korea,1986,69.5,,
Total population at birth,Years,Korea,1987,70.1,,
Total population at birth,Years,Korea,1988,70.7,,
Total population at birth,Years,Korea,1989,71.2,,
Total population at birth,Years,Korea,1990,71.7,,
Total population at birth,Years,Korea,1991,72.2,,
Total population at birth,Years,Korea,1992,72.6,,
Total population at birth,Years,Korea,1993,73.1,,
Total population at birth,Years,Korea,1994,73.5,,
Total population at birth,Years,Korea,1995,73.8,,
Total population at birth,Years,Korea,1996,74.2,,
Total population at birth,Years,Korea,1997,74.7,,
Total population at birth,Years,Korea,1998,75.1,,
Total population at birth,Years,Korea,1999,75.5,,
Total population at birth,Years,Korea,2000,76,,
Total population at birth,Years,Korea,2001,76.5,,
Total population at birth,Years,Korea,2002,76.8,,
Total population at birth,Years,Korea,2003,77.3,,
Total population at birth,Years,Korea,2004,77.8,,
Total population at birth,Years,Korea,2005,78.2,,
Total population at birth,Years,Korea,2006,78.8,,
Total population at birth,Years,Korea,2007,79.2,,
Total population at birth,Years,Korea,2008,79.6,,
Total population at birth,Years,Korea,2009,80,,
Total population at birth,Years,Korea,2010,80.2,,
Total population at birth,Years,Korea,2011,80.6,,
Total population at birth,Years,Korea,2012,80.9,,
Total population at birth,Years,Korea,2013,81.4,,
Total population at birth,Years,Korea,2014,81.8,,
Total population at birth,Years,Korea,2015,82.1,,
Total population at birth,Years,Korea,2016,82.4,,
Total population at birth,Years,Korea,2017,82.7,,
Total population at birth,Years,Korea,2018,82.7,,
Total population at birth,Years,Korea,2019,83.3,,
Total population at birth,Years,Luxembourg,1960,69.4,,
Total population at birth,Years,Luxembourg,1971,69.7,,
Total population at birth,Years,Luxembourg,1972,70.9,,
Total population at birth,Years,Luxembourg,1973,70.8,,
Total population at birth,Years,Luxembourg,1974,70.8,,
Total population at birth,Years,Luxembourg,1975,70.8,,
Total population at birth,Years,Luxembourg,1976,70.8,,
Total population at birth,Years,Luxembourg,1977,72.2,,
Total population at birth,Years,Luxembourg,1978,72.1,,
Total population at birth,Years,Luxembourg,1979,72.8,,
Total population at birth,Years,Luxembourg,1980,72.8,,
Total population at birth,Years,Luxembourg,1981,72.6,,
Total population at birth,Years,Luxembourg,1982,72.7,,
Total population at birth,Years,Luxembourg,1983,73.5,,
Total population at birth,Years,Luxembourg,1984,73.3,,
Total population at birth,Years,Luxembourg,1985,73.8,,
Total population at birth,Years,Luxembourg,1986,74.7,,
Total population at birth,Years,Luxembourg,1987,74.3,,
Total population at birth,Years,Luxembourg,1988,75,,
Total population at birth,Years,Luxembourg,1989,74.8,,
Total population at birth,Years,Luxembourg,1990,75.6,,
Total population at birth,Years,Luxembourg,1991,75.7,,
Total population at birth,Years,Luxembourg,1992,75.3,,
Total population at birth,Years,Luxembourg,1993,75.9,,
Total population at birth,Years,Luxembourg,1994,76.6,,
Total population at birth,Years,Luxembourg,1995,76.8,,
Total population at birth,Years,Luxembourg,1996,76.8,,
Total population at birth,Years,Luxembourg,1997,77,,
Total population at birth,Years,Luxembourg,1998,77.3,,
Total population at birth,Years,Luxembourg,1999,77.9,,
Total population at birth,Years,Luxembourg,2000,78,,
Total population at birth,Years,Luxembourg,2001,77.9,,
Total population at birth,Years,Luxembourg,2002,78.1,,
Total population at birth,Years,Luxembourg,2003,77.8,,
Total population at birth,Years,Luxembourg,2004,79.2,,
Total population at birth,Years,Luxembourg,2005,79.5,,
Total population at birth,Years,Luxembourg,2006,79.4,,
Total population at birth,Years,Luxembourg,2007,79.5,,
Total population at birth,Years,Luxembourg,2008,80.6,,
Total population at birth,Years,Luxembourg,2009,80.7,,
Total population at birth,Years,Luxembourg,2010,80.7,,
Total population at birth,Years,Luxembourg,2011,81.1,,
Total population at birth,Years,Luxembourg,2012,81.5,B,Break
Total population at birth,Years,Luxembourg,2013,81.9,,
Total population at birth,Years,Luxembourg,2014,82.3,,
Total population at birth,Years,Luxembourg,2015,82.4,,
Total population at birth,Years,Luxembourg,2016,82.8,,
Total population at birth,Years,Luxembourg,2017,82.2,,
Total population at birth,Years,Luxembourg,2018,82.4,,
Total population at birth,Years,Luxembourg,2019,82.7,,
Total population at birth,Years,Luxembourg,2020,81.8,,
Total population at birth,Years,Mexico,1960,57.5,,
Total population at birth,Years,Mexico,1961,58.2,,
Total population at birth,Years,Mexico,1962,58.8,,
Total population at birth,Years,Mexico,1963,59.3,,
Total population at birth,Years,Mexico,1964,59.9,,
Total population at birth,Years,Mexico,1965,60.3,,
Total population at birth,Years,Mexico,1966,60.7,,
Total population at birth,Years,Mexico,1967,61,,
Total population at birth,Years,Mexico,1968,61.3,,
Total population at birth,Years,Mexico,1969,61.6,,
Total population at birth,Years,Mexico,1970,60.9,,
Total population at birth,Years,Mexico,1971,62.4,,
Total population at birth,Years,Mexico,1972,63.1,,
Total population at birth,Years,Mexico,1973,63.7,,
Total population at birth,Years,Mexico,1974,64.2,,
Total population at birth,Years,Mexico,1975,64.7,,
Total population at birth,Years,Mexico,1976,65.2,,
Total population at birth,Years,Mexico,1977,65.7,,
Total population at birth,Years,Mexico,1978,66.1,,
Total population at birth,Years,Mexico,1979,66.6,,
Total population at birth,Years,Mexico,1980,67.2,,
Total population at birth,Years,Mexico,1981,67.7,,
Total population at birth,Years,Mexico,1982,68.2,,
Total population at birth,Years,Mexico,1983,68.6,,
Total population at birth,Years,Mexico,1984,69.1,,
Total population at birth,Years,Mexico,1985,69.5,,
Total population at birth,Years,Mexico,1986,69.9,,
Total population at birth,Years,Mexico,1987,70.2,,
Total population at birth,Years,Mexico,1988,70.6,,
Total population at birth,Years,Mexico,1989,70.8,,
Total population at birth,Years,Mexico,1990,70.5,,
Total population at birth,Years,Mexico,1991,71.6,,
Total population at birth,Years,Mexico,1992,71.9,,
Total population at birth,Years,Mexico,1993,72,,
Total population at birth,Years,Mexico,1994,72.3,,
Total population at birth,Years,Mexico,1995,72.3,,
Total population at birth,Years,Mexico,1996,72.7,,
Total population at birth,Years,Mexico,1997,73.1,,
Total population at birth,Years,Mexico,1998,73.5,,
Total population at birth,Years,Mexico,1999,74,,
Total population at birth,Years,Mexico,2000,74.7,,
Total population at birth,Years,Mexico,2001,75,,
Total population at birth,Years,Mexico,2002,75.1,,
Total population at birth,Years,Mexico,2003,75.1,,
Total population at birth,Years,Mexico,2004,75.4,,
Total population at birth,Years,Mexico,2005,75.2,,
Total population at birth,Years,Mexico,2006,75.5,,
Total population at birth,Years,Mexico,2007,75.3,,
Total population at birth,Years,Mexico,2008,75.1,,
Total population at birth,Years,Mexico,2009,74.9,,
Total population at birth,Years,Mexico,2010,74.8,,
Total population at birth,Years,Mexico,2011,74.9,,
Total population at birth,Years,Mexico,2012,75,,
Total population at birth,Years,Mexico,2013,75,,
Total population at birth,Years,Mexico,2014,74.9,,
Total population at birth,Years,Mexico,2015,74.7,,
Total population at birth,Years,Mexico,2016,74.8,,
Total population at birth,Years,Mexico,2017,74.9,,
Total population at birth,Years,Mexico,2018,75,,
Total population at birth,Years,Mexico,2019,75.1,,
Total population at birth,Years,Netherlands,1960,73.5,,
Total population at birth,Years,Netherlands,1961,73.8,,
Total population at birth,Years,Netherlands,1962,73.4,,
Total population at birth,Years,Netherlands,1963,73.4,,
Total population at birth,Years,Netherlands,1964,73.8,,
Total population at birth,Years,Netherlands,1965,73.6,,
Total population at birth,Years,Netherlands,1966,73.6,,
Total population at birth,Years,Netherlands,1967,73.9,,
Total population at birth,Years,Netherlands,1968,73.7,,
Total population at birth,Years,Netherlands,1969,73.6,,
Total population at birth,Years,Netherlands,1970,73.7,,
Total population at birth,Years,Netherlands,1971,73.9,,
Total population at birth,Years,Netherlands,1972,73.8,,
Total population at birth,Years,Netherlands,1973,74.2,,
Total population at birth,Years,Netherlands,1974,74.6,,
Total population at birth,Years,Netherlands,1975,74.6,,
Total population at birth,Years,Netherlands,1976,74.7,,
Total population at birth,Years,Netherlands,1977,75.3,,
Total population at birth,Years,Netherlands,1978,75.3,,
Total population at birth,Years,Netherlands,1979,75.7,,
Total population at birth,Years,Netherlands,1980,75.9,,
Total population at birth,Years,Netherlands,1981,76,,
Total population at birth,Years,Netherlands,1982,76.1,,
Total population at birth,Years,Netherlands,1983,76.3,,
Total population at birth,Years,Netherlands,1984,76.4,,
Total population at birth,Years,Netherlands,1985,76.5,,
Total population at birth,Years,Netherlands,1986,76.4,,
Total population at birth,Years,Netherlands,1987,76.9,,
Total population at birth,Years,Netherlands,1988,77.1,,
Total population at birth,Years,Netherlands,1989,76.9,,
Total population at birth,Years,Netherlands,1990,77,,
Total population at birth,Years,Netherlands,1991,77.2,,
Total population at birth,Years,Netherlands,1992,77.4,,
Total population at birth,Years,Netherlands,1993,77.1,,
Total population at birth,Years,Netherlands,1994,77.5,,
Total population at birth,Years,Netherlands,1995,77.6,,
Total population at birth,Years,Netherlands,1996,77.6,,
Total population at birth,Years,Netherlands,1997,78,,
Total population at birth,Years,Netherlands,1998,78,,
Total population at birth,Years,Netherlands,1999,77.9,,
Total population at birth,Years,Netherlands,2000,78.2,,
Total population at birth,Years,Netherlands,2001,78.3,,
Total population at birth,Years,Netherlands,2002,78.4,,
Total population at birth,Years,Netherlands,2003,78.7,,
Total population at birth,Years,Netherlands,2004,79.2,,
Total population at birth,Years,Netherlands,2005,79.5,,
Total population at birth,Years,Netherlands,2006,79.9,,
Total population at birth,Years,Netherlands,2007,80.3,,
Total population at birth,Years,Netherlands,2008,80.5,,
Total population at birth,Years,Netherlands,2009,80.8,,
Total population at birth,Years,Netherlands,2010,81,,
Total population at birth,Years,Netherlands,2011,81.3,,
Total population at birth,Years,Netherlands,2012,81.2,,
Total population at birth,Years,Netherlands,2013,81.4,,
Total population at birth,Years,Netherlands,2014,81.8,,
Total population at birth,Years,Netherlands,2015,81.6,,
Total population at birth,Years,Netherlands,2016,81.6,,
Total population at birth,Years,Netherlands,2017,81.8,,
Total population at birth,Years,Netherlands,2018,81.9,,
Total population at birth,Years,Netherlands,2019,82.2,,
Total population at birth,Years,Netherlands,2020,81.5,,
Total population at birth,Years,New Zealand,1961,71.1,,
Total population at birth,Years,New Zealand,1962,71.2,,
Total population at birth,Years,New Zealand,1963,71.2,,
Total population at birth,Years,New Zealand,1964,71.2,,
Total population at birth,Years,New Zealand,1965,71.2,,
Total population at birth,Years,New Zealand,1966,71.3,,
Total population at birth,Years,New Zealand,1967,71.4,,
Total population at birth,Years,New Zealand,1968,71.4,,
Total population at birth,Years,New Zealand,1969,71.5,,
Total population at birth,Years,New Zealand,1970,71.5,,
Total population at birth,Years,New Zealand,1971,71.6,,
Total population at birth,Years,New Zealand,1972,71.7,,
Total population at birth,Years,New Zealand,1973,71.8,,
Total population at birth,Years,New Zealand,1974,72,,
Total population at birth,Years,New Zealand,1975,72.1,,
Total population at birth,Years,New Zealand,1976,72.3,,
Total population at birth,Years,New Zealand,1977,72.5,,
Total population at birth,Years,New Zealand,1978,72.7,,
Total population at birth,Years,New Zealand,1979,72.9,,
Total population at birth,Years,New Zealand,1980,73.2,,
Total population at birth,Years,New Zealand,1981,73.4,,
Total population at birth,Years,New Zealand,1982,73.6,,
Total population at birth,Years,New Zealand,1983,73.7,,
Total population at birth,Years,New Zealand,1984,73.8,,
Total population at birth,Years,New Zealand,1985,74,,
Total population at birth,Years,New Zealand,1986,74.1,,
Total population at birth,Years,New Zealand,1987,74.5,,
Total population at birth,Years,New Zealand,1988,74.8,,
Total population at birth,Years,New Zealand,1989,75.2,,
Total population at birth,Years,New Zealand,1990,75.5,,
Total population at birth,Years,New Zealand,1991,75.8,,
Total population at birth,Years,New Zealand,1992,76.1,,
Total population at birth,Years,New Zealand,1993,76.3,,
Total population at birth,Years,New Zealand,1994,76.6,,
Total population at birth,Years,New Zealand,1995,76.8,,
Total population at birth,Years,New Zealand,1996,77.1,,
Total population at birth,Years,New Zealand,1997,77.4,,
Total population at birth,Years,New Zealand,1998,77.7,,
Total population at birth,Years,New Zealand,1999,78.1,,
Total population at birth,Years,New Zealand,2000,78.4,,
Total population at birth,Years,New Zealand,2001,78.7,,
Total population at birth,Years,New Zealand,2002,79,,
Total population at birth,Years,New Zealand,2003,79.3,,
Total population at birth,Years,New Zealand,2004,79.6,,
Total population at birth,Years,New Zealand,2005,79.8,,
Total population at birth,Years,New Zealand,2006,80.1,,
Total population at birth,Years,New Zealand,2007,80.3,,
Total population at birth,Years,New Zealand,2008,80.5,,
Total population at birth,Years,New Zealand,2009,80.7,,
Total population at birth,Years,New Zealand,2010,80.8,,
Total population at birth,Years,New Zealand,2011,81,,
Total population at birth,Years,New Zealand,2012,81.2,,
Total population at birth,Years,New Zealand,2013,81.4,,
Total population at birth,Years,New Zealand,2014,81.5,,
Total population at birth,Years,New Zealand,2015,81.7,,
Total population at birth,Years,New Zealand,2016,81.7,,
Total population at birth,Years,New Zealand,2017,81.9,,
Total population at birth,Years,New Zealand,2018,81.8,,
Total population at birth,Years,New Zealand,2019,82.1,,
Total population at birth,Years,Norway,1960,73.8,,
Total population at birth,Years,Norway,1961,73.8,,
Total population at birth,Years,Norway,1962,73.7,,
Total population at birth,Years,Norway,1963,73.4,,
Total population at birth,Years,Norway,1964,73.9,,
Total population at birth,Years,Norway,1965,74,,
Total population at birth,Years,Norway,1966,74.3,,
Total population at birth,Years,Norway,1967,74.3,,
Total population at birth,Years,Norway,1968,74.2,,
Total population at birth,Years,Norway,1969,74,,
Total population at birth,Years,Norway,1970,74.4,,
Total population at birth,Years,Norway,1971,74.4,,
Total population at birth,Years,Norway,1972,74.6,,
Total population at birth,Years,Norway,1973,74.7,,
Total population at birth,Years,Norway,1974,75.1,,
Total population at birth,Years,Norway,1975,75.1,,
Total population at birth,Years,Norway,1976,75.3,,
Total population at birth,Years,Norway,1977,75.7,,
Total population at birth,Years,Norway,1978,75.8,,
Total population at birth,Years,Norway,1979,75.8,,
Total population at birth,Years,Norway,1980,75.9,,
Total population at birth,Years,Norway,1981,76.1,,
Total population at birth,Years,Norway,1982,76.2,,
Total population at birth,Years,Norway,1983,76.3,,
Total population at birth,Years,Norway,1984,76.4,,
Total population at birth,Years,Norway,1985,76.1,,
Total population at birth,Years,Norway,1986,76.5,,
Total population at birth,Years,Norway,1987,76.3,,
Total population at birth,Years,Norway,1988,76.4,,
Total population at birth,Years,Norway,1989,76.7,,
Total population at birth,Years,Norway,1990,76.7,,
Total population at birth,Years,Norway,1991,77.1,,
Total population at birth,Years,Norway,1992,77.4,,
Total population at birth,Years,Norway,1993,77.3,,
Total population at birth,Years,Norway,1994,77.9,,
Total population at birth,Years,Norway,1995,77.9,,
Total population at birth,Years,Norway,1996,78.3,,
Total population at birth,Years,Norway,1997,78.3,,
Total population at birth,Years,Norway,1998,78.5,,
Total population at birth,Years,Norway,1999,78.4,,
Total population at birth,Years,Norway,2000,78.8,,
Total population at birth,Years,Norway,2001,78.9,,
Total population at birth,Years,Norway,2002,79,,
Total population at birth,Years,Norway,2003,79.6,,
Total population at birth,Years,Norway,2004,80.1,,
Total population at birth,Years,Norway,2005,80.3,,
Total population at birth,Years,Norway,2006,80.6,,
Total population at birth,Years,Norway,2007,80.6,,
Total population at birth,Years,Norway,2008,80.8,,
Total population at birth,Years,Norway,2009,81,,
Total population at birth,Years,Norway,2010,81.2,,
Total population at birth,Years,Norway,2011,81.4,,
Total population at birth,Years,Norway,2012,81.5,,
Total population at birth,Years,Norway,2013,81.8,,
