variable,measure,country,year,value,flag codes,flags
Total population at birth,Years,Belgium,1978,72.8,,
Total population at birth,Years,Belgium,1979,73.3,,
Total population at birth,Years,Belgium,1980,73.3,,
Total population at birth,Years,Belgium,1981,73.7,,
Total population at birth,Years,Belgium,1982,74,,
Total population at birth,Years,Belgium,1983,74,,
Total population at birth,Years,Belgium,1984,74.5,,
Total population at birth,Years,Belgium,1985,74.6,,
Total population at birth,Years,Belgium,1986,74.8,,
Total population at birth,Years,Belgium,1987,75.5,,
Total population at birth,Years,Belgium,1988,75.7,,
Total population at birth,Years,Belgium,1989,75.7,,
Total population at birth,Years,Belgium,1990,76.1,,
Total population at birth,Years,Belgium,1991,76.3,,
Total population at birth,Years,Belgium,1992,76.5,,
Total population at birth,Years,Belgium,1993,76.5,,
Total population at birth,Years,Belgium,1994,76.8,,
Total population at birth,Years,Belgium,1995,77,,
Total population at birth,Years,Belgium,1996,77.3,,
Total population at birth,Years,Belgium,1997,77.5,,
Total population at birth,Years,Belgium,1998,77.6,,
Total population at birth,Years,Belgium,1999,77.7,,
Total population at birth,Years,Belgium,2000,77.8,,
Total population at birth,Years,Belgium,2001,78.1,,
Total population at birth,Years,Belgium,2002,78.2,,
Total population at birth,Years,Belgium,2003,78.2,,
Total population at birth,Years,Belgium,2004,79,,
Total population at birth,Years,Belgium,2005,79.1,,
Total population at birth,Years,Belgium,2006,79.5,,
Total population at birth,Years,Belgium,2007,79.9,,
Total population at birth,Years,Belgium,2008,79.8,,
Total population at birth,Years,Belgium,2009,80.1,,
Total population at birth,Years,Belgium,2010,80.3,,
Total population at birth,Years,Belgium,2011,80.7,B,Break
Total population at birth,Years,Belgium,2012,80.5,,
Total population at birth,Years,Belgium,2013,80.7,,
Total population at birth,Years,Belgium,2014,81.4,,
Total population at birth,Years,Belgium,2015,81.1,,
Total population at birth,Years,Belgium,2016,81.5,,
Total population at birth,Years,Belgium,2017,81.6,,
Total population at birth,Years,Belgium,2018,81.7,,
Total population at birth,Years,Belgium,2019,82.1,,
Total population at birth,Years,Belgium,2020,80.9,,
Total population at birth,Years,Canada,1961,71.3,,
Total population at birth,Years,Canada,1966,72,,
Total population at birth,Years,Canada,1971,72.9,,
Total population at birth,Years,Canada,1976,73.9,,
Total population at birth,Years,Canada,1979,75.1,,
Total population at birth,Years,Canada,1980,75.3,,
Total population at birth,Years,Canada,1981,75.5,,
Total population at birth,Years,Canada,1982,75.6,B,Break
Total population at birth,Years,Canada,1983,75.9,,
Total population at birth,Years,Canada,1984,76.2,,
Total population at birth,Years,Canada,1985,76.3,,
Total population at birth,Years,Canada,1986,76.5,,
Total population at birth,Years,Canada,1987,76.6,,
Total population at birth,Years,Canada,1988,76.8,,
Total population at birth,Years,Canada,1989,77,,
Total population at birth,Years,Canada,1990,77.2,,
Total population at birth,Years,Canada,1991,77.5,,
Total population at birth,Years,Canada,1992,77.7,,
Total population at birth,Years,Canada,1993,77.8,,
Total population at birth,Years,Canada,1994,77.9,,
Total population at birth,Years,Canada,1995,77.9,,
Total population at birth,Years,Canada,1996,78.1,,
Total population at birth,Years,Canada,1997,78.3,,
Total population at birth,Years,Canada,1998,78.5,,
Total population at birth,Years,Canada,1999,78.7,,
Total population at birth,Years,Canada,2000,79,,
Total population at birth,Years,Canada,2001,79.2,,
Total population at birth,Years,Canada,2002,79.4,,
Total population at birth,Years,Canada,2003,79.6,,
Total population at birth,Years,Canada,2004,79.8,,
Total population at birth,Years,Canada,2005,80,,
Total population at birth,Years,Canada,2006,80.3,,
Total population at birth,Years,Canada,2007,80.4,,
Total population at birth,Years,Canada,2008,80.6,,
Total population at birth,Years,Canada,2009,80.8,,
Total population at birth,Years,Canada,2010,81.1,,
Total population at birth,Years,Canada,2011,81.3,,
Total population at birth,Years,Canada,2012,81.5,,
Total population at birth,Years,Canada,2013,81.7,,
Total population at birth,Years,Canada,2014,81.8,,
Total population at birth,Years,Canada,2015,81.9,,
Total population at birth,Years,Canada,2016,82,,
Total population at birth,Years,Canada,2017,82,,
Total population at birth,Years,Canada,2018,82,,
Total population at birth,Years,Canada,2019,82.1,,
Total population at birth,Years,Canada,2020,81.7,,
Total population at birth,Years,Czech Republic,1960,70.7,,
Total population at birth,Years,Czech Republic,1961,70.7,,
Total population at birth,Years,Czech Republic,1962,69.9,,
Total population at birth,Years,Czech Republic,1963,70.5,,
Total population at birth,Years,Czech Republic,1964,70.7,,
Total population at birth,Years,Czech Republic,1965,70.4,,
Total population at birth,Years,Czech Republic,1966,70.6,,
Total population at birth,Years,Czech Republic,1967,70.5,,
Total population at birth,Years,Czech Republic,1968,70.1,,
Total population at birth,Years,Czech Republic,1969,69.6,,
Total population at birth,Years,Czech Republic,1970,69.6,,
Total population at birth,Years,Czech Republic,1971,69.8,,
Total population at birth,Years,Czech Republic,1972,70.3,,
Total population at birth,Years,Czech Republic,1973,70.2,,
Total population at birth,Years,Czech Republic,1974,70.2,,
Total population at birth,Years,Czech Republic,1975,70.6,,
Total population at birth,Years,Czech Republic,1976,70.7,,
Total population at birth,Years,Czech Republic,1977,70.8,,
Total population at birth,Years,Czech Republic,1978,70.9,,
Total population at birth,Years,Czech Republic,1979,70.9,,
Total population at birth,Years,Czech Republic,1980,70.5,,
Total population at birth,Years,Czech Republic,1981,70.8,,
Total population at birth,Years,Czech Republic,1982,70.9,,
Total population at birth,Years,Czech Republic,1983,70.8,,
Total population at birth,Years,Czech Republic,1984,71,,
Total population at birth,Years,Czech Republic,1985,71.2,,
Total population at birth,Years,Czech Republic,1986,71.1,,
Total population at birth,Years,Czech Republic,1987,71.6,,
Total population at birth,Years,Czech Republic,1988,71.8,,
Total population at birth,Years,Czech Republic,1989,71.9,,
Total population at birth,Years,Czech Republic,1990,71.6,,
Total population at birth,Years,Czech Republic,1991,72,,
Total population at birth,Years,Czech Republic,1992,72.5,,
Total population at birth,Years,Czech Republic,1993,72.9,,
Total population at birth,Years,Czech Republic,1994,73.2,,
Total population at birth,Years,Czech Republic,1995,73.3,,
Total population at birth,Years,Czech Republic,1996,74,,
Total population at birth,Years,Czech Republic,1997,74.1,,
Total population at birth,Years,Czech Republic,1998,74.7,,
Total population at birth,Years,Czech Republic,1999,74.9,,
Total population at birth,Years,Czech Republic,2000,75.1,,
Total population at birth,Years,Czech Republic,2001,75.3,,
Total population at birth,Years,Czech Republic,2002,75.4,,
Total population at birth,Years,Czech Republic,2003,75.3,,
Total population at birth,Years,Czech Republic,2004,75.8,,
Total population at birth,Years,Czech Republic,2005,76.1,,
Total population at birth,Years,Czech Republic,2006,76.7,,
Total population at birth,Years,Czech Republic,2007,77,,
Total population at birth,Years,Czech Republic,2008,77.3,,
Total population at birth,Years,Czech Republic,2009,77.4,,
Total population at birth,Years,Czech Republic,2010,77.7,,
Total population at birth,Years,Czech Republic,2011,78,,
Total population at birth,Years,Czech Republic,2012,78.2,,
Total population at birth,Years,Czech Republic,2013,78.3,,
Total population at birth,Years,Czech Republic,2014,78.9,,
Total population at birth,Years,Czech Republic,2015,78.7,,
Total population at birth,Years,Czech Republic,2016,79.1,,
Total population at birth,Years,Czech Republic,2017,79.1,,
Total population at birth,Years,Czech Republic,2018,79.1,,
Total population at birth,Years,Czech Republic,2019,79.3,,
Total population at birth,Years,Czech Republic,2020,78.3,,
Total population at birth,Years,Denmark,1960,72.4,,
Total population at birth,Years,Denmark,1967,72.6,,
Total population at birth,Years,Denmark,1968,73,,
Total population at birth,Years,Denmark,1969,73.2,,
Total population at birth,Years,Denmark,1970,73.3,,
Total population at birth,Years,Denmark,1971,73.3,,
Total population at birth,Years,Denmark,1972,73.4,,
Total population at birth,Years,Denmark,1973,73.6,,
Total population at birth,Years,Denmark,1974,74,,
Total population at birth,Years,Denmark,1975,74.2,,
Total population at birth,Years,Denmark,1976,73.9,,
Total population at birth,Years,Denmark,1977,74.9,,
Total population at birth,Years,Denmark,1978,74.6,,
Total population at birth,Years,Denmark,1979,74.4,,
Total population at birth,Years,Denmark,1980,74.3,,
Total population at birth,Years,Denmark,1981,74.4,,
Total population at birth,Years,Denmark,1982,74.7,,
Total population at birth,Years,Denmark,1983,74.6,,
Total population at birth,Years,Denmark,1984,74.8,,
Total population at birth,Years,Denmark,1985,74.6,,
Total population at birth,Years,Denmark,1986,74.8,,
Total population at birth,Years,Denmark,1987,74.9,,
Total population at birth,Years,Denmark,1988,75,,
Total population at birth,Years,Denmark,1989,75,,
Total population at birth,Years,Denmark,1990,74.9,,
Total population at birth,Years,Denmark,1991,75.3,,
Total population at birth,Years,Denmark,1992,75.3,,
Total population at birth,Years,Denmark,1993,75.2,,
Total population at birth,Years,Denmark,1994,75.5,,
Total population at birth,Years,Denmark,1995,75.3,,
Total population at birth,Years,Denmark,1996,75.7,,
Total population at birth,Years,Denmark,1997,76.1,,
Total population at birth,Years,Denmark,1998,76.5,,
Total population at birth,Years,Denmark,1999,76.6,,
Total population at birth,Years,Denmark,2000,76.9,,
Total population at birth,Years,Denmark,2001,77,,
Total population at birth,Years,Denmark,2002,77.1,,
Total population at birth,Years,Denmark,2003,77.4,,
Total population at birth,Years,Denmark,2004,77.8,,
Total population at birth,Years,Denmark,2005,78.3,,
Total population at birth,Years,Denmark,2006,78.4,,
Total population at birth,Years,Denmark,2007,78.4,,
Total population at birth,Years,Denmark,2008,78.8,,
Total population at birth,Years,Denmark,2009,79,,
Total population at birth,Years,Denmark,2010,79.3,,
Total population at birth,Years,Denmark,2011,79.9,,
Total population at birth,Years,Denmark,2012,80.1,,
Total population at birth,Years,Denmark,2013,80.4,,
Total population at birth,Years,Denmark,2014,80.8,,
Total population at birth,Years,Denmark,2015,80.8,,
Total population at birth,Years,Denmark,2016,80.9,,
Total population at birth,Years,Denmark,2017,81.2,,
Total population at birth,Years,Denmark,2018,81,,
Total population at birth,Years,Denmark,2019,81.5,,
Total population at birth,Years,Denmark,2020,81.6,,
Total population at birth,Years,Finland,1960,69,,
Total population at birth,Years,Finland,1963,69,,
Total population at birth,Years,Finland,1968,69.8,,
Total population at birth,Years,Finland,1970,70.8,,
Total population at birth,Years,Finland,1971,70.1,,
Total population at birth,Years,Finland,1972,70.7,,
Total population at birth,Years,Finland,1973,71.2,,
Total population at birth,Years,Finland,1974,71.2,,
Total population at birth,Years,Finland,1975,71.7,,
Total population at birth,Years,Finland,1976,72,,
Total population at birth,Years,Finland,1977,72.4,,
Total population at birth,Years,Finland,1978,73,,
Total population at birth,Years,Finland,1979,73.2,,
Total population at birth,Years,Finland,1980,73.6,,
Total population at birth,Years,Finland,1981,73.9,,
Total population at birth,Years,Finland,1982,74.6,,
Total population at birth,Years,Finland,1983,74.4,,
Total population at birth,Years,Finland,1984,74.8,,
Total population at birth,Years,Finland,1985,74.5,,
Total population at birth,Years,Finland,1986,74.8,,
Total population at birth,Years,Finland,1987,74.8,,
Total population at birth,Years,Finland,1988,74.8,,
Total population at birth,Years,Finland,1989,75,,
Total population at birth,Years,Finland,1990,75,,
Total population at birth,Years,Finland,1991,75.5,,
Total population at birth,Years,Finland,1992,75.7,,
Total population at birth,Years,Finland,1993,75.8,,
Total population at birth,Years,Finland,1994,76.6,,
Total population at birth,Years,Finland,1995,76.6,,
Total population at birth,Years,Finland,1996,76.9,,
Total population at birth,Years,Finland,1997,77.1,,
Total population at birth,Years,Finland,1998,77.3,,
Total population at birth,Years,Finland,1999,77.5,,
Total population at birth,Years,Finland,2000,77.7,,
Total population at birth,Years,Finland,2001,78.2,,
Total population at birth,Years,Finland,2002,78.3,,
Total population at birth,Years,Finland,2003,78.5,,
Total population at birth,Years,Finland,2004,79,,
Total population at birth,Years,Finland,2005,79.1,,
Total population at birth,Years,Finland,2006,79.5,,
Total population at birth,Years,Finland,2007,79.6,,
Total population at birth,Years,Finland,2008,79.9,,
Total population at birth,Years,Finland,2009,80.1,,
Total population at birth,Years,Finland,2010,80.2,,
Total population at birth,Years,Finland,2011,80.6,,
Total population at birth,Years,Finland,2012,80.7,,
Total population at birth,Years,Finland,2013,81.1,,
Total population at birth,Years,Finland,2014,81.3,,
Total population at birth,Years,Finland,2015,81.6,,
Total population at birth,Years,Finland,2016,81.5,,
Total population at birth,Years,Finland,2017,81.7,,
Total population at birth,Years,Finland,2018,81.8,,
Total population at birth,Years,Finland,2019,82.1,,
Total population at birth,Years,Finland,2020,82.2,,
Total population at birth,Years,France,1960,70.3,,
Total population at birth,Years,France,1961,71,,
Total population at birth,Years,France,1962,70.5,,
Total population at birth,Years,France,1963,70.5,,
Total population at birth,Years,France,1964,71.4,,
Total population at birth,Years,France,1965,71.3,,
Total population at birth,Years,France,1966,71.5,,
Total population at birth,Years,France,1967,71.5,,
Total population at birth,Years,France,1968,71.5,,
Total population at birth,Years,France,1969,71.3,,
Total population at birth,Years,France,1970,72.2,,
Total population at birth,Years,France,1971,72.1,,
Total population at birth,Years,France,1972,72.4,,
Total population at birth,Years,France,1973,72.5,,
Total population at birth,Years,France,1974,72.8,,
Total population at birth,Years,France,1975,73,,
Total population at birth,Years,France,1976,73.2,,
Total population at birth,Years,France,1977,73.8,,
Total population at birth,Years,France,1978,73.9,,
Total population at birth,Years,France,1979,74.2,,
Total population at birth,Years,France,1980,74.3,,
Total population at birth,Years,France,1981,74.5,,
Total population at birth,Years,France,1982,74.8,,
Total population at birth,Years,France,1983,74.8,,
Total population at birth,Years,France,1984,75.3,,
Total population at birth,Years,France,1985,75.4,,
Total population at birth,Years,France,1986,75.7,,
Total population at birth,Years,France,1987,76.3,,
Total population at birth,Years,France,1988,76.6,,
Total population at birth,Years,France,1989,76.7,,
Total population at birth,Years,France,1990,77,,
Total population at birth,Years,France,1991,77.2,,
Total population at birth,Years,France,1992,77.5,,
Total population at birth,Years,France,1993,77.6,,
Total population at birth,Years,France,1994,78,,
Total population at birth,Years,France,1995,78.1,,
Total population at birth,Years,France,1996,78.3,,
Total population at birth,Years,France,1997,78.6,,
Total population at birth,Years,France,1998,78.8,,
Total population at birth,Years,France,1999,78.9,,
Total population at birth,Years,France,2000,79.2,,
Total population at birth,Years,France,2001,79.3,,
Total population at birth,Years,France,2002,79.4,,
Total population at birth,Years,France,2003,79.3,,
Total population at birth,Years,France,2004,80.3,,
Total population at birth,Years,France,2005,80.4,,
Total population at birth,Years,France,2006,81,,
Total population at birth,Years,France,2007,81.2,,
Total population at birth,Years,France,2008,81.4,,
Total population at birth,Years,France,2009,81.5,,
Total population at birth,Years,France,2010,81.8,,
Total population at birth,Years,France,2011,82.3,,
Total population at birth,Years,France,2012,82.1,,
Total population at birth,Years,France,2013,82.3,B,Break
Total population at birth,Years,France,2014,82.8,,
Total population at birth,Years,France,2015,82.4,,
Total population at birth,Years,France,2016,82.7,,
Total population at birth,Years,France,2017,82.7,,
Total population at birth,Years,France,2018,82.8,,
Total population at birth,Years,France,2019,82.9,,
Total population at birth,Years,France,2020,82.3,,
Total population at birth,Years,Germany,1960,69.1,,
